benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,104,1.49,1.00,1.00,1.00
ANKTRAIN,30,41,81,109,61,0.69,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,102,1.72,0.95,0.86,0.90
CHRL4,29,49,31,53,26,0.33,0.97,0.99,0.98
DISHOWN,47,53,59,77,30,0.45,0.97,0.68,0.79
ENTEXAM,53,67,91,100,75,1.09,0.98,0.88,0.93
KOL16B,29,34,51,54,37,0.65,1.00,0.90,0.95
NOTINCOM,36,29,58,61,48,0.91,1.00,0.98,0.99
RGAME,32,38,22,23,17,0.13,1.00,0.93,0.96
TRISQ,20,24,82,183,57,1.53,0.93,0.87,0.89
